Hafta	Gün	Vaka	Ölüm	Ülke	Pop
16	7	32922	1856	Amerika	327167434
16	6	30833	3770	Amerika	327167434
16	5	31667	2299	Amerika	327167434
16	4	30148	4928	Amerika	327167434
16	3	26922	2408	Amerika	327167434
16	2	25023	1541	Amerika	327167434
16	1	27620	1500	Amerika	327167434
15	7	28391	1831	Amerika	327167434
15	6	35527	2087	Amerika	327167434
15	5	33901	1873	Amerika	327167434
15	4	33323	1922	Amerika	327167434
15	3	30613	1906	Amerika	327167434
15	2	30561	1342	Amerika	327167434
15	1	25398	1146	Amerika	327167434
14	7	34272	1344	Amerika	327167434
14	6	32425	1104	Amerika	327167434
14	5	28819	915	Amerika	327167434
14	4	27103	1059	Amerika	327167434
14	3	24998	909	Amerika	327167434
14	2	21595	661	Amerika	327167434
14	1	18360	318	Amerika	327167434
13	7	19979	484	Amerika	327167434
13	6	18695	411	Amerika	327167434
13	5	16797	246	Amerika	327167434
13	4	13963	249	Amerika	327167434
13	3	8789	211	Amerika	327167434
13	2	11236	119	Amerika	327167434
13	1	8459	131	Amerika	327167434
12	7	7123	80	Amerika	327167434
12	6	5374	110	Amerika	327167434
12	5	4835	0	Amerika	327167434
12	4	2988	42	Amerika	327167434
12	3	1766	23	Amerika	327167434
12	2	887	16	Amerika	327167434
12	1	823	12	Amerika	327167434
11	7	777	10	Amerika	327167434
11	6	511	7	Amerika	327167434
11	5	351	10	Amerika	327167434
11	4	287	2	Amerika	327167434
11	3	271	2	Amerika	327167434
11	2	200	5	Amerika	327167434
11	1	121	4	Amerika	327167434
10	7	95	3	Amerika	327167434
10	6	105	2	Amerika	327167434
10	5	74	1	Amerika	327167434
10	4	34	2	Amerika	327167434
10	3	22	3	Amerika	327167434
10	2	14	4	Amerika	327167434
10	1	20	1	Amerika	327167434
9	7	3	1	Amerika	327167434
9	6	6	0	Amerika	327167434
9	5	1	0	Amerika	327167434
9	4	6	0	Amerika	327167434
9	3	0	0	Amerika	327167434
9	2	18	0	Amerika	327167434
9	1	0	0	Amerika	327167434
8	7	0	0	Amerika	327167434
8	6	19	0	Amerika	327167434
8	5	1	0	Amerika	327167434
8	4	0	0	Amerika	327167434
8	3	0	0	Amerika	327167434
8	2	0	0	Amerika	327167434
8	1	0	0	Amerika	327167434
7	7	0	0	Amerika	327167434
7	6	0	0	Amerika	327167434
16	7	3658	565	İspanya	46723749
16	6	5252	348	İspanya	46723749
16	5	5183	551	İspanya	46723749
16	4	5092	523	İspanya	46723749
16	3	3045	567	İspanya	46723749
16	2	3477	517	İspanya	46723749
16	1	4167	619	İspanya	46723749
15	7	4830	510	İspanya	46723749
15	6	4576	605	İspanya	46723749
15	5	5756	683	İspanya	46723749
15	4	6180	757	İspanya	46723749
15	3	5478	743	İspanya	46723749
15	2	4273	637	İspanya	46723749
15	1	6023	674	İspanya	46723749
14	7	7026	809	İspanya	46723749
14	6	7472	932	İspanya	46723749
14	5	8102	950	İspanya	46723749
14	4	7719	864	İspanya	46723749
14	3	9222	849	İspanya	46723749
14	2	6398	812	İspanya	46723749
14	1	6549	838	İspanya	46723749
13	7	8189	832	İspanya	46723749
13	6	7871	769	İspanya	46723749
13	5	8578	655	İspanya	46723749
13	4	7937	738	İspanya	46723749
13	3	6584	514	İspanya	46723749
13	2	4517	462	İspanya	46723749
13	1	3646	394	İspanya	46723749
12	7	4946	324	İspanya	46723749
12	6	2833	235	İspanya	46723749
12	5	3431	169	İspanya	46723749
12	4	2538	107	İspanya	46723749
12	3	1987	182	İspanya	46723749
12	2	1438	21	İspanya	46723749
12	1	2000	152	İspanya	46723749
11	7	1522	15	İspanya	46723749
11	6	1227	37	İspanya	46723749
11	5	864	37	İspanya	46723749
11	4	501	12	İspanya	46723749
11	3	435	7	İspanya	46723749
11	2	615	23	İspanya	46723749
11	1	159	0	İspanya	46723749
10	7	56	0	İspanya	46723749
10	6	113	2	İspanya	46723749
10	5	61	2	İspanya	46723749
10	4	49	1	İspanya	46723749
10	3	37	0	İspanya	46723749
10	2	31	0	İspanya	46723749
10	1	17	0	İspanya	46723749
9	7	32	0	İspanya	46723749
9	6	9	0	İspanya	46723749
9	5	13	0	İspanya	46723749
9	4	5	0	İspanya	46723749
9	3	4	0	İspanya	46723749
9	2	1	0	İspanya	46723749
9	1	0	0	İspanya	46723749
8	7	0	0	İspanya	46723749
8	6	0	0	İspanya	46723749
8	5	0	0	İspanya	46723749
8	4	0	0	İspanya	46723749
8	3	0	0	İspanya	46723749
8	2	0	0	İspanya	46723749
8	1	0	0	İspanya	46723749
7	7	0	0	İspanya	46723749
7	6	0	0	İspanya	46723749
16	7	3491	480	İtalya	60431283
16	6	3493	575	İtalya	60431283
16	5	3786	525	İtalya	60431283
16	4	2667	578	İtalya	60431283
16	3	2972	604	İtalya	60431283
16	2	3153	564	İtalya	60431283
16	1	4092	431	İtalya	60431283
15	7	4694	619	İtalya	60431283
15	6	3951	570	İtalya	60431283
15	5	4204	612	İtalya	60431283
15	4	3836	540	İtalya	60431283
15	3	3039	604	İtalya	60431283
15	2	3599	636	İtalya	60431283
15	1	4316	527	İtalya	60431283
14	7	4805	681	İtalya	60431283
14	6	4585	764	İtalya	60431283
14	5	4668	760	İtalya	60431283
14	4	4782	727	İtalya	60431283
14	3	4053	839	İtalya	60431283
14	2	4050	810	İtalya	60431283
14	1	5217	758	İtalya	60431283
13	7	5974	887	İtalya	60431283
13	6	5959	971	İtalya	60431283
13	5	6153	660	İtalya	60431283
13	4	5210	685	İtalya	60431283
13	3	5249	743	İtalya	60431283
13	2	4789	601	İtalya	60431283
13	1	5560	649	İtalya	60431283
12	7	6557	795	İtalya	60431283
12	6	5986	625	İtalya	60431283
12	5	5322	429	İtalya	60431283
12	4	4207	473	İtalya	60431283
12	3	3526	347	İtalya	60431283
12	2	4000	347	İtalya	60431283
12	1	2823	370	İtalya	60431283
11	7	3497	173	İtalya	60431283
11	6	2547	252	İtalya	60431283
11	5	2651	189	İtalya	60431283
11	4	2313	196	İtalya	60431283
11	3	977	167	İtalya	60431283
11	2	1797	98	İtalya	60431283
11	1	1492	133	İtalya	60431283
10	7	1247	36	İtalya	60431283
10	6	778	49	İtalya	60431283
10	5	769	41	İtalya	60431283
10	4	587	27	İtalya	60431283
10	3	466	28	İtalya	60431283
10	2	347	17	İtalya	60431283
10	1	561	6	İtalya	60431283
9	7	240	8	İtalya	60431283
9	6	238	4	İtalya	60431283
9	5	250	5	İtalya	60431283
9	4	78	1	İtalya	60431283
9	3	93	5	İtalya	60431283
9	2	97	4	İtalya	60431283
9	1	53	0	İtalya	60431283
8	7	62	2	İtalya	60431283
8	6	14	0	İtalya	60431283
8	5	0	0	İtalya	60431283
