ID,P1,P2,P3,P4,P5,P6
ID001,B,C,A,A,A,C
ID002,C,A,A,C,A,B
ID003,B,B,B,B,B,B
ID004,A,A,A,A,A,A
ID005,B,B,B,B,B,B
ID006,C,C,C,C,C,C
ID007,B,A,A,A,A,A
ID008,B,B,C,A,A,A
ID009,C,C,C,C,C,C
ID010,C,C,C,C,C,C
ID011,B,B,B,B,B,B
ID012,B,B,B,B,B,B
ID013,A,C,A,B,B,C
ID014,C,C,C,C,C,C
ID015,A,C,C,C,A,B
ID016,A,A,A,A,A,C
ID017,C,C,C,C,C,C
ID018,A,C,B,B,B,C
ID019,A,A,C,C,B,B
ID020,A,B,B,B,C,B
ID021,B,B,B,B,B,B
ID022,C,C,C,C,C,C
ID023,A,A,A,A,A,A
ID024,C,A,A,B,C,A
ID025,B,B,B,B,B,B
ID026,B,B,B,B,B,B
ID027,B,B,B,B,B,B
ID028,A,A,A,A,A,A
ID029,B,B,B,B,B,B
ID030,A,B,A,A,B,C
ID031,C,B,A,B,A,B
ID032,A,A,B,A,B,B
ID033,C,C,C,C,C,C
ID034,C,C,C,C,C,C
ID035,C,C,C,A,A,C
ID036,C,C,C,C,C,C
ID037,C,C,A,C,C,B
ID038,A,A,A,A,A,A
ID039,A,C,C,A,B,B
ID040,A,B,A,B,B,A
